,mape,r2,mape_train,r2_train
linear_regression,0.29244827454412453,0.8353191935896991,0.29401122082342146,0.8225902232840017
random_forest,0.16350653126457856,0.8949500944098345,0.1306923430405034,0.9683481454977932
xgboost,0.16354951412527424,0.8971182341113907,0.1508514185214367,0.9531637350063923
catboost,0.1739561576321901,0.8822943399954017,0.16992237603832155,0.9328353179466734
